snapshot_date,country,marketplace,channel,sku,site_sku,asin,currency,sales_units,sales_amount,sales_amount_usd,return_units,total_orders,session,page_view,unit_session_percentage,buy_box_percentage,browser_session,browser_page_views,app_session,app_page_view,source_system,source_report,source_file_id,source_sheet_name,source_row_hash,sync_batch_id,synced_at,created_at,updated_at,data_window_start_date,data_window_end_date,latest_source_date,is_fallback_used,fallback_reason,data_age_days
7/19/2026,AU,Amazon,Amazon,CO1150-R,,,AUD,1.00,55.00,35.86,,1,4,5,25,100,3,3,1,2,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,a1093199d0f7934e0650a79da98c34d7,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
7/19/2026,AU,Amazon,Amazon,MO5600-M,,,AUD,1.00,38.00,24.78,,1,1,1,100,100,0,0,1,1,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,d38af531eb7a6a65bc43f040a3d68fcd,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
7/19/2026,AU,Amazon,Amazon,SP5020-R,,,AUD,1.00,29.99,19.55,,1,7,8,14.29,100,4,5,3,3,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,ef35d333bc22518598e9018427e36d1c,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
7/19/2026,CA,Amazon,Amazon,CO1150-N,,,CAD,1.00,44.99,32.75,0,1,12,13,8.33,100,2,2,10,11,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,2c149dfa13e671e74f15f07ae505b14a,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
7/19/2026,CA,Amazon,Amazon,SP3210-R,,,CAD,1.00,23.99,17.46,0,1,1,2,100,100,1,2,0,0,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,77e83d32cd8e2a0bb64b393d9bdf03f5,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,CA,Amazon,Amazon,SP5020-T,,,CAD,1.00,34.99,25.47,0,1,5,9,20,$100.00,1,4,4,5,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,c34aa99f740a6cf66720fad247046594,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,CA,Amazon,Amazon,SP5020-R,,,CAD,1.00,34.99,25.47,0,1,10,13,10,$100.00,2,5,8,8,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,637d9f64d388def51ed7f831abae04ce,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,CA,Amazon,Amazon,CO1100-T,,,CAD,1.00,31.99,23.29,0,1,44,47,2.27,$100.00,19,20,25,27,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,f7a74d8be523e209faa8a493827f1d51,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,DE,Amazon,Amazon,SP5020-R,,,EUR,1.00,22.50,26.15,0,1,24,45,4.17,$100.00,9,27,15,18,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,e569cd25580e2fabb86a38e00d510c7d,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,DE,Amazon,Amazon,CO2600-T,,,EUR,1.00,35.99,41.82,0,1,3,3,33.33,$100.00,1,1,2,2,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,d3b8b891c2cddc6ab4f2456bbe836064,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,DE,Amazon,Amazon,CO2300-R,,,EUR,1.00,37.99,44.14,0,1,6,7,16.67,$100.00,3,3,3,4,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,63bacbf76c0727bac7029e29a30ed06b,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,DE,Amazon,Amazon,SP3410-M,,,EUR,1.00,18.50,21.50,0,1,4,7,25,$100.00,0,0,4,7,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,a71aeb10ae132e79eaa2af047c196e30,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,DE,Amazon,Amazon,SP5020-M,,,EUR,1.00,22.50,26.15,0,1,9,11,11.11,$100.00,2,2,7,9,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,60ea58b4fb33293d2eb93347f3b72cd1,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,DE,Amazon,Amazon,SP3120-R,,,EUR,1.00,16.36,19.01,0,1,2,5,50,$100.00,2,5,0,0,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,859ef129d6830c8a3f27336a86a96a94,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,ES,Amazon,Amazon,CO2300-W,,,EUR,1.00,37.99,44.14,0,1,2,2,50,$100.00,0,0,2,2,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,ad77ab51aae3b6f00b19a5f6a06f908d,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,ES,Amazon,Amazon,SP5020-B,,,EUR,1.00,22.50,26.15,0,1,4,6,25,$100.00,1,1,3,5,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,16fec75af7f7a15523bf88ffcb818661,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,ES,Amazon,Amazon,SP3120-Y,,,EUR,1.00,18.00,20.92,0,1,2,2,50,$100.00,1,1,1,1,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,5971ff70b477ba8ba5c839974b8a173e,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,ES,Amazon,Amazon,CO1100-T,,,EUR,1.00,29.99,34.85,0,1,2,2,50,$100.00,0,0,2,2,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,6705c51790e4d0ca33767009945d35ac,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,FR,Amazon,Amazon,CO1100-T,,,EUR,1.00,29.99,34.85,0,1,10,11,10,$100.00,6,6,4,5,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,67dda590a7c411fa4e96c447059e99d9,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,FR,Amazon,Amazon,CO2600-R,,,EUR,1.00,35.99,41.82,0,1,46,53,2.17,$100.00,2,2,44,51,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,ac02cf8b3d408a4a1bdece889cb9f5b9,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,FR,Amazon,Amazon,SP5120-M,,,EUR,1.00,16.50,19.17,0,1,2,2,50,$100.00,0,0,2,2,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,e43168049021deb46a746168a4bd2f28,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,FR,Amazon,Amazon,CO1100-W,,,EUR,1.00,29.99,34.85,0,1,8,13,12.5,$100.00,3,4,5,9,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,a1a09a2b72ca92abd130ccb41936453b,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,FR,Amazon,Amazon,SP5020-T,,,EUR,1.00,22.50,26.15,0,1,3,6,33.33,$100.00,2,5,1,1,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,a1fa8c6775a260a3ab30968dd99d0f79,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,FR,Amazon,Amazon,CO1100-S,,,EUR,1.00,29.99,34.85,0,1,6,8,16.67,$100.00,4,6,2,2,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,4dd7599f26c2c542366fd3fc0c600b16,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
2026-07-19,JP,Amazon,Amazon,SP3120-M,,,JPY,1.00,"2,999.00",20.51,,1,7,13,14.29,$100.00,1,1,6,12,BigQuery Import,Amazon Daily Sales,amazon-database-489810.AmazonSales.Raw Daily Sales,Raw Daily Sales,9890f77200a6d06ea9fc790b77fe6c7a,SYNC-amazon_daily_sales_snapshot-610472af,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-08-02 12:43:25,2026-06-03,2026-07-30,2026-07-30,FALSE,,3
